"salePaymentID","saleID","amount","tipAmount","createTime","paymentTypeName","paymentTypeType","ccChargeID","cardType","cardLast4","authCode","entryMethod","archived"
"1","107","21","0","2022-12-23T20:29:28+00:00","Cash","cash","0","","","","","false"
"2","275","12","0","2023-02-25T17:46:36+00:00","Cash","cash","0","","","","","false"
"4","370","0.32","0","2023-03-20T18:53:48+00:00","Credit Card","credit card","0","","","","","false"
"5","369","0.32","0","2023-03-20T19:04:52+00:00","Credit Card","credit card","0","","","","","false"
"6","376","2.13","0","2023-03-20T19:34:00+00:00","Debit Card","credit card","0","","","","","false"
"9","384","85.2","0","2023-03-21T14:22:21+00:00","Credit Card","credit card","0","","","","","false"
"10","385","95.85","0","2023-03-21T15:10:38+00:00","Cash","cash","0","","","","","false"
"11","386","25.01","0","2023-03-21T15:16:00+00:00","Cash","cash","0","","","","","false"
"12","388","342.82","0","2023-03-21T17:01:28+00:00","Credit Card","credit card","0","","","","","false"
"13","390","55.38","0","2023-03-21T18:11:01+00:00","Credit Card","credit card","0","","","","","false"
"14","392","204.48","0","2023-03-21T18:30:53+00:00","Credit Card","credit card","0","","","","","false"
"15","393","53.25","0","2023-03-21T18:56:39+00:00","Cash","cash","0","","","","","false"
"16","394","31.95","0","2023-03-21T19:21:13+00:00","Debit Card","credit card","0","","","","","false"
"17","395","25.01","0","2023-03-21T19:34:25+00:00","Debit Card","credit card","0","","","","","false"
"18","396","29.01","0","2023-03-21T19:36:17+00:00","Debit Card","credit card","0","","","","","false"
"19","397","7.46","0","2023-03-21T20:38:31+00:00","Cash","cash","0","","","","","false"
"20","398","119.64","0","2023-03-21T20:43:27+00:00","Credit Card","credit card","0","","","","","false"
"21","399","145.91","0","2023-03-22T14:29:24+00:00","Cash","cash","0","","","","","false"
"22","400","50.06","0","2023-03-22T14:38:14+00:00","Cash","cash","0","","","","","false"
"23","403","74.55","0","2023-03-22T16:22:14+00:00","Credit Card","credit card","0","","","","","false"
"24","405","22","0","2023-03-22T19:00:22+00:00","Credit Card","credit card","0","","","","","false"
"25","408","53.25","0","2023-03-22T19:28:21+00:00","Credit Card","credit card","0","","","","","false"
"26","411","30","0","2023-03-22T19:56:30+00:00","Cash","cash","0","","","","","false"
"27","415","34.08","0","2023-03-23T14:09:44+00:00","Debit Card","credit card","0","","","","","false"
"28","418","57.51","0","2023-03-23T14:56:57+00:00","Credit Card","credit card","0","","","","","false"
"29","420","129.93","0","2023-03-23T16:37:42+00:00","Debit Card","credit card","0","","","","","false"
"30","421","48.99","0","2023-03-23T16:41:20+00:00","Credit Card","credit card","0","","","","","false"
"31","422","78.26","0","2023-03-23T17:06:01+00:00","Credit Card","credit card","0","","","","","false"
"32","419","65.99","0","2023-03-23T17:25:22+00:00","Credit Card","credit card","0","","","","","false"
"33","424","138.45","0","2023-03-23T17:26:46+00:00","Credit Card","credit card","0","","","","","false"
"34","425","160.94","0","2023-03-23T18:51:07+00:00","Cash","cash","0","","","","","false"
"35","427","50.3","0","2023-03-24T13:06:48+00:00","Debit Card","credit card","0","","","","","false"
"36","430","213","0","2023-03-24T15:07:59+00:00","Credit Card","credit card","0","","","","","false"
"38","431","319.5","0","2023-03-24T15:28:11+00:00","Debit Card","credit card","0","","","","","false"
"39","432","2332.35","0","2023-03-24T15:56:29+00:00","Credit Card","credit card","0","","","","","false"
"40","433","213","0","2023-03-24T16:06:03+00:00","Debit Card","credit card","0","","","","","false"
"41","434","30","0","2023-03-24T16:17:32+00:00","Debit Card","credit card","0","","","","","false"
"42","436","30","0","2023-03-24T17:47:29+00:00","Credit Card","credit card","0","","","","","false"
"43","437","300","0","2023-03-24T18:19:01+00:00","Credit Card","credit card","0","","","","","false"
"44","437","445.5","0","2023-03-24T18:19:50+00:00","Credit Card","credit card","0","","","","","false"
"45","439","165.2","0","2023-03-24T18:41:11+00:00","Cash","cash","0","","","","","false"
"46","443","44.73","0","2023-03-25T13:58:44+00:00","Debit Card","credit card","0","","","","","false"
"47","444","44.73","0","2023-03-25T13:59:49+00:00","Debit Card","credit card","0","","","","","false"
"48","445","149.1","0","2023-03-25T14:11:35+00:00","Credit Card","credit card","0","","","","","false"
"49","446","37.28","0","2023-03-25T15:05:21+00:00","Cash","cash","0","","","","","false"
"50","449","77.75","0","2023-03-25T15:25:44+00:00","Debit Card","credit card","0","","","","","false"
"51","450","135.85","0","2023-03-25T15:59:30+00:00","Credit Card","credit card","0","","","","","false"
"52","451","29.98","0","2023-03-25T16:51:21+00:00","Credit Card","credit card","0","","","","","false"
"53","452","65.56","0","2023-03-25T17:16:19+00:00","Debit Card","credit card","0","","","","","false"
"54","453","65.56","0","2023-03-25T17:17:08+00:00","Debit Card","credit card","0","","","","","false"
"56","455","388.73","0","2023-03-26T14:47:41+00:00","Cash","cash","0","","","","","false"
"57","457","63.9","0","2023-03-28T14:06:29+00:00","Credit Card","credit card","0","","","","","false"
"58","458","5.33","0","2023-03-28T14:41:41+00:00","Cash","cash","0","","","","","false"
"59","459","40","0","2023-03-28T14:48:18+00:00","Debit Card","credit card","0","","","","","false"
"60","461","47.93","0","2023-03-28T15:31:22+00:00","Credit Card","credit card","0","","","","","false"
"61","462","67.25","0","2023-03-28T16:03:55+00:00","Credit Card","credit card","0","","","","","false"
"62","463","30","0","2023-03-28T16:10:21+00:00","Debit Card","credit card","0","","","","","false"
"63","464","2173.67","0","2023-03-28T16:32:32+00:00","Credit Card","credit card","0","","","","","false"
"64","465","237.13","0","2023-03-28T16:34:05+00:00","Cash","cash","0","","","","","false"
"65","468","84.65","0","2023-03-28T16:43:54+00:00","Cash","cash","0","","","","","false"
"66","470","50.01","0","2023-03-28T16:45:31+00:00","Cash","cash","0","","","","","false"
"67","473","159.75","0","2023-03-28T17:47:32+00:00","Credit Card","credit card","0","","","","","false"
"68","474","31.95","0","2023-03-28T17:55:32+00:00","Credit Card","credit card","0","","","","","false"
