"serializedID","itemID","description","serial","colorName","sizeName","customerID","saleLineID","timeStamp"
"1","0","Trek","","blue","","1","0","2022-11-23T12:51:38+00:00"
"2","0","trek","","blue","","4","0","2022-11-25T01:26:01+00:00"
"3","0","trek 7000","","grey/black","","5","0","2022-11-26T16:52:00+00:00"
"4","0","windsor dover 3, hurricane bike quote 120-150 front right shifter needs cleaning leave the front derailleur in H if needed","","grey","","6","0","2022-12-02T13:45:27+00:00"
"5","0","diamondback, flood bike 120-150","","silver","","7","0","2022-12-02T13:45:37+00:00"
"6","0","Emojo ram","","black/orange","","8","0","2022-11-29T20:23:26+00:00"
"7","0","highway ebike, throttle intermittent","","black","","9","0","2022-12-02T13:40:46+00:00"
"8","0","electra townie ebike, tested, contacted customer, wants new chain//replace chain, back tire possibly, flooded, see what can be salvage new back tire","","maroon","","10","0","2022-12-02T13:40:00+00:00"
"9","0","scooter x 2, assemble","","","","11","0","2022-12-02T13:40:25+00:00"
"10","0","Raleigh m20, flood bike","","white/black","","12","0","2022-12-02T13:42:08+00:00"
"11","0","tires, needs 2 tires and tubes, text when they get in","","","26x2","13","0","2022-12-02T13:42:20+00:00"
"12","0","Schwinn, tune-up, mirror","","blue","","14","0","2022-12-02T13:42:33+00:00"
"13","0","green schwinn ebike, pack and ship","","","","15","0","2022-12-02T13:45:10+00:00"
"14","0","Ariel rider, motor probably bad","","blue","","16","0","2022-12-02T13:42:47+00:00"
"15","0","6 bikes, Hooks: 005, 006, 007, 008, 011,018 flood bikes","","","","17","0","2022-12-02T13:43:04+00:00"
"16","0","jetson, new tube on order","","black","","18","0","2022-12-02T13:43:15+00:00"
"17","0","Schwann traveler, flood bikes new tires on schwinn replace any rusted bolts","","","","20","0","2022-12-07T19:14:19+00:00"
"18","0","giant, tune-up chain/shifting skipping leaving Saturday the 3r","","blue","","21","0","2022-12-02T13:45:50+00:00"
"19","0","Schwinn Ranger","","white/blue","","22","0","2022-12-10T12:47:59+00:00"
"20","0","folding bike, tune-up, brakes squeaking","","black","","23","0","2022-12-02T13:43:58+00:00"
"21","0","Cervelo, tune-up","","white","","24","0","2022-12-02T13:44:07+00:00"
"22","0","Schwann ranger, flood tune-up call if more than 140","","blue","","25","0","2022-12-02T13:44:22+00:00"
