"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Qty.","Description","Price","Default Cost"
"210000000019","","","3","","0","Tube or Tire Labor - EBike - NON-REMOVABLE/SINGLE SPEED Motor Wheel","$27.23","$0.00"
"210000000028","","","fw7","","0","Freewheel - 6/7 Speed","$22.00","$0.00"
"210000000030","","","c7","","0","Cassette - 7/8 Speed - Part","$30.00","$0.00"
"210000000032","","","c8","","0","Cassette - 8s","$30.00","$0.00"
"210000000038","887274000000","7611750000000","7020105","12342512","0","Lightspeed Retail T-Shirt Small Red","$22.00","$10.00"
"210000000039","886190000000","2139850000000","4252212","","0","Lightspeed Retail T-Shirt Medium Blue","$50.00","$34.22"
"210000000040","586625000000","4421910000000","","","0","LightSpeed Retail Shorts","$45.00","$20.00"
"210000000041","888571056981","","","8.88571E+11","-7","GRIPS OR8 MICROTAC ERGO UL LOCKING BK","$20.00","$9.99"
"210000000043","72774640126","72774640126","","72774640126","-1","WHEELMASTER WHL FT 26x1.5 559x19 ALY SL 36 ALY QR 14gUCP","$50.00","$26.89"
"210000000044","888571053669","","","8.88571E+11","-2","HELMET AERIUS V19-SPORT M/L SL/TQ","$0.00","$15.49"
"210000000045","888571053607","","","8.88571E+11","1","HELMET AERIUS V19-SPORT S/M BU/GY","$15.49","$15.49"
"210000000046","888571060414","","","8.88571E+11","0","HELMET AERIUS V19-SPORT XL BK","$0.00","$13.99"
"210000000047","888571053621","","","8.88571E+11","-5","HELMET AERIUS V19-SPORT S/M SL/TQ","$35.00","$15.49"
"210000000048","888571053638","","","8.88571E+11","0","HELMET AERIUS V19-SPORT M/L BK/GY","$0.00","$13.99"
"210000000049","888571060346","","","8.88571E+11","0","HELMET AERIUS V19-SPORT M/L BK","$0.00","$13.99"
"210000000050","888571053614","","","8.88571E+11","0","HELMET AERIUS V19-SPORT S/M BK/RD","$35.00","$15.49"
"210000000052","","5021646028925","","5.02165E+12","-1","CABLE ADJUSTER CLK IN-LINE 4mm PR BK","$5.00","$5.99"
"210000000055","720018004097","","","004097","-4","LOCK KRY LINK FOLDING KRYPTOLOK 685 KEY 85cmx5mm BK w/BRKT","$100.00","$55.79"
"210000000056","720018005223","","","005223","-24","LOCK KRY CBL KRYPTOFLEX 1218 COMBO 6fx12m w/BKT BK","$35.00","$17.79"
"210000000057","720018005247","","","005247","-4","LOCK KRY CBL KRYPTOFLEX 1230 COMBO 10fx12mm BK","$40.00","$18.99"
"210000000059","072774968923","","","","1","BELL OR8 PING XL 22.2-31.8 ALY BLK","$11.00","$5.19"
"210000000060","072774958573","","","","2","BELL SUNLT w/COMPASS BLK","$14.00","$3.49"
"210000000061","725012036082","","","5344120","3","LIGHT CATEYE HL-EL042RC AMPP200 USB BK","$30.00","$14.39"
"210000000062","725012034521","","","5340840","0","LIGHT CATEYE HL-EL084RC AMPP400 USB BK","$35.00","$18.19"
"210000000063","725012036181","","","8900041","-1","LIGHT CATEYE HL-EL042RC TL-LD160 AMPP200/ORB COMBO BK","$40.00","$18.09"
"210000000064","4712806001889","4712806001889","","1-LED-31R-V111","-1","LIGHT LEZ RR FEMTO DRIVE USB RD","$18.49","$10.69"
"210000000065","888571063057","","","","-29","LIGHT SUNLT RR DOT-USB BK","$12.00","$5.99"
"210000000066","799403292005","","","HL6002","1","HBAR MOUNT DELTA SMARTPHONE HOLDER","$36.00","$16.49"
"210000000067","094664043602","","","WPT-09-R3","2","HBAR MOUNT NITEIZE WRAPTOR ROTATING SMARTPHONE BAR MOUNT BK","$30.00","$15.99"
"210000000068","799403305200","","","HL6800","1","HBAR MOUNT DELTA SMART PHONE HOLDER X-MOUNT PRO STEM CAP MOUNT BK","$36.00","$17.99"
"210000000069","725012028506","","","5559400","0","MIRROR CATEYE BAR END BM-45 ROAD BK","$18.00","$10.39"
"210000000070","642016102301","","","1023","1","PUMP PB Co2 AIR KISS w/16g CART","$14.00","$7.19"
"210000000071","642016101915","","","1019-1","-2","PUMP PB Co2 CART 16g THRD CDof3","$10.00","$5.59"
"210000000072","072774960255","","","","0","DRINK HOLDER OR8 JOE2GO CUP ALY LG","$22.00","$11.49"
"210000000073","888571035641","","","","2","PUMP SUNLT FLOOR SURGE SPORT LX  w/GAUGE BK","$45.00","$24.99"
"210000000074","859195003316","","","1004","1","BAG BIKASE PHONE HANDY ANDY 5 FITS 5in SMARTPHONES BK","$24.99","$13.59"
"210000000075","072774436217","","","","0","PUMP OR8 MINI MTN TELE PV/SV BK","$22.00","$11.49"
"210000000076","072774457861","","","","5","TIE DOWN BUNGEE SUNLT 24in 9mm BK","$5.00","$2.69"
"210000000077","072774433957","","","","-5","PUMP SUNLT FRAME AIRSURGE-AERO GAUGE","$25.00","$12.29"
"210000000078","4002556443399","4002556443399","","10505","2","SKS BottleCage Adapter","$30.00","$11.99"
"210000000079","642016902017","","","9020-1","1","BAG PB SEAT LITTLE BIKE BUDDY BK","$18.00","$9.99"
"210000000080","642016902208","","","9022","3","BAG PB FRAME SNACK SACK BK","$20.00","$10.99"
"210000000081","710845674549","","","00.1915.126.050","1","TAPE & PLUGS ZIP S-COURSE CX BLK","$30.00","$15.49"
