"itemID","description","defaultCost","avgCost","upc","ean","customSku","manufacturerSku","categoryID","taxClassID","itemType","archived","timeStamp"
"15","Tube or Tire Labor - EBike - NON-REMOVABLE/SINGLE SPEED Motor Wheel","0","0","","","3","","38","1","non_inventory","false","2025-03-05T03:10:32+00:00"
"21","Freewheel - 6/7 Speed","0","0","","","fw7","","46","1","non_inventory","false","2025-03-05T15:40:40+00:00"
"22","Cassette - 7/8 Speed - Part","0","0","","","c7","","0","1","non_inventory","false","2025-03-05T17:58:34+00:00"
"23","Cassette - 8s","0","0","","","c8","","0","1","non_inventory","false","2025-03-05T17:58:38+00:00"
"27","Lightspeed Retail T-Shirt Small Red","10","0","887274000000","7611750000000","7020105","12342512","0","0","default","false","2022-11-29T12:53:32+00:00"
"28","Lightspeed Retail T-Shirt Medium Blue","34.22","0","886190000000","2139850000000","4252212","","0","0","default","false","2022-11-29T12:53:33+00:00"
"29","LightSpeed Retail Shorts","20","0","586625000000","4421910000000","","","0","0","default","false","2022-11-29T12:53:33+00:00"
"30","GRIPS OR8 MICROTAC ERGO UL LOCKING BK","9.99","9.99","888571056981","","","8.88571E+11","0","1","default","false","2025-09-18T15:12:38+00:00"
"32","WHEELMASTER WHL FT 26x1.5 559x19 ALY SL 36 ALY QR 14gUCP","26.89","0","72774640126","72774640126","","72774640126","0","1","default","false","2025-03-05T03:05:07+00:00"
"33","HELMET AERIUS V19-SPORT M/L SL/TQ","15.49","0","888571053669","","","8.88571E+11","0","0","default","false","2025-02-24T21:06:50+00:00"
"34","HELMET AERIUS V19-SPORT S/M BU/GY","15.49","15.49","888571053607","","","8.88571E+11","0","0","default","false","2025-03-06T21:12:12+00:00"
"35","HELMET AERIUS V19-SPORT XL BK","13.99","0","888571060414","","","8.88571E+11","0","0","default","false","2022-11-29T13:02:51+00:00"
"36","HELMET AERIUS V19-SPORT S/M SL/TQ","15.49","15.49","888571053621","","","8.88571E+11","0","1","default","false","2025-03-19T19:07:03+00:00"
"37","HELMET AERIUS V19-SPORT M/L BK/GY","13.99","0","888571053638","","","8.88571E+11","0","0","default","false","2022-11-29T13:02:51+00:00"
"38","HELMET AERIUS V19-SPORT M/L BK","13.99","0","888571060346","","","8.88571E+11","0","0","default","false","2022-11-29T13:02:51+00:00"
"39","HELMET AERIUS V19-SPORT S/M BK/RD","15.49","15.49","888571053614","","","8.88571E+11","0","0","default","false","2025-04-03T15:11:38+00:00"
"41","CABLE ADJUSTER CLK IN-LINE 4mm PR BK","5.99","0","","5021646028925","","5.02165E+12","0","0","default","false","2025-03-06T18:24:09+00:00"
"43","LOCK KRY LINK FOLDING KRYPTOLOK 685 KEY 85cmx5mm BK w/BRKT","55.79","55.79","720018004097","","","004097","0","1","default","false","2025-12-02T20:27:03+00:00"
"44","LOCK KRY CBL KRYPTOFLEX 1218 COMBO 6fx12m w/BKT BK","17.79","17.79","720018005223","","","005223","0","1","default","false","2025-10-07T16:17:13+00:00"
"45","LOCK KRY CBL KRYPTOFLEX 1230 COMBO 10fx12mm BK","18.99","18.99","720018005247","","","005247","0","1","default","false","2023-01-11T00:22:13+00:00"
"47","BELL OR8 PING XL 22.2-31.8 ALY BLK","5.19","0","072774968923","","","","0","1","default","false","2023-05-12T15:04:36+00:00"
"48","BELL SUNLT w/COMPASS BLK","3.49","3.49","072774958573","","","","0","1","default","false","2023-01-11T00:26:57+00:00"
"49","LIGHT CATEYE HL-EL042RC AMPP200 USB BK","14.39","14.39","725012036082","","","5344120","0","1","default","false","2025-03-05T03:02:55+00:00"
"50","LIGHT CATEYE HL-EL084RC AMPP400 USB BK","18.19","18.19","725012034521","","","5340840","0","1","default","false","2024-02-28T23:09:05+00:00"
"51","LIGHT CATEYE HL-EL042RC TL-LD160 AMPP200/ORB COMBO BK","18.09","18.09","725012036181","","","8900041","0","1","default","false","2025-03-05T03:02:55+00:00"
"52","LIGHT LEZ RR FEMTO DRIVE USB RD","10.69","10.69","4712806001889","4712806001889","","1-LED-31R-V111","0","1","default","false","2024-09-25T12:51:43+00:00"
"53","LIGHT SUNLT RR DOT-USB BK","5.99","5.99","888571063057","","","","0","1","default","false","2025-03-05T03:02:55+00:00"
"54","HBAR MOUNT DELTA SMARTPHONE HOLDER","16.49","16.49","799403292005","","","HL6002","0","1","default","false","2023-04-26T15:00:34+00:00"
"55","HBAR MOUNT NITEIZE WRAPTOR ROTATING SMARTPHONE BAR MOUNT BK","15.99","15.99","094664043602","","","WPT-09-R3","0","1","default","false","2023-05-18T13:40:45+00:00"
"56","HBAR MOUNT DELTA SMART PHONE HOLDER X-MOUNT PRO STEM CAP MOUNT BK","17.99","17.99","799403305200","","","HL6800","0","1","default","false","2023-01-11T00:46:23+00:00"
"57","MIRROR CATEYE BAR END BM-45 ROAD BK","10.39","10.39","725012028506","","","5559400","0","1","default","false","2025-03-05T03:02:55+00:00"
"58","PUMP PB Co2 AIR KISS w/16g CART","7.19","7.19","642016102301","","","1023","0","1","default","false","2025-03-05T03:02:55+00:00"
"59","PUMP PB Co2 CART 16g THRD CDof3","5.59","5.59","642016101915","","","1019-1","0","1","default","false","2025-10-30T18:18:50+00:00"
"60","DRINK HOLDER OR8 JOE2GO CUP ALY LG","11.49","11.49","072774960255","","","","0","1","default","false","2024-08-19T21:18:32+00:00"
"61","PUMP SUNLT FLOOR SURGE SPORT LX  w/GAUGE BK","24.99","24.99","888571035641","","","","0","1","default","false","2023-01-11T00:53:28+00:00"
"62","BAG BIKASE PHONE HANDY ANDY 5 FITS 5in SMARTPHONES BK","13.59","13.59","859195003316","","","1004","0","1","default","false","2025-03-05T03:02:55+00:00"
"63","PUMP OR8 MINI MTN TELE PV/SV BK","11.49","11.49","072774436217","","","","0","1","default","false","2025-03-05T17:58:43+00:00"
"64","TIE DOWN BUNGEE SUNLT 24in 9mm BK","2.69","2.69","072774457861","","","","0","1","default","false","2024-12-21T23:03:07+00:00"
"65","PUMP SUNLT FRAME AIRSURGE-AERO GAUGE","12.29","12.29","072774433957","","","","0","1","default","false","2025-03-05T03:02:55+00:00"
"66","SKS BottleCage Adapter","11.99","11.99","4002556443399","4002556443399","","10505","0","1","default","false","2024-03-22T20:10:51+00:00"
"67","BAG PB SEAT LITTLE BIKE BUDDY BK","9.99","9.99","642016902017","","","9020-1","0","1","default","false","2023-04-18T18:59:33+00:00"
"68","BAG PB FRAME SNACK SACK BK","10.99","10.99","642016902208","","","9022","0","1","default","false","2025-03-05T03:02:55+00:00"
"69","TAPE & PLUGS ZIP S-COURSE CX BLK","15.49","15.49","710845674549","","","00.1915.126.050","0","1","default","false","2023-01-11T01:12:56+00:00"
"70","TAPE & PLUGS OR8 CORK LT-BU","8.49","8.49","072774311460","","","072774311460","0","1","default","false","2024-10-23T23:27:29+00:00"
"71","TAPE & PLUGS OR8 CORK DK-BU","8.49","8.49","888571008966","","","","0","1","default","false","2023-10-18T20:00:16+00:00"
"72","TAPE & PLUGS OR8 CORK RED","8.49","8.49","072774314478","","","","0","1","default","false","2023-01-11T01:15:37+00:00"
"73","PATCH KIT PARK GP-2 GLUELESS CARDED/EACH","2.19","2.19","763477003768","","","GP-2C","0","1","default","false","2026-01-01T15:30:23+00:00"
"74","BOTTLE CAGE SUNLT CAGE MOUNT QR BK 22.2-31.8","5.99","5.99","072774976805","","","","0","1","default","false","2023-01-11T01:17:35+00:00"
"75","PATCH KIT PARK VP-1 GLUE TYPE EA CARDED","1.49","1.49","763477008565","","","VP-1C","0","1","default","false","2025-02-12T18:33:08+00:00"
"76","BOTTLE CAGE LEZ FLOW CAGE SL LH BU","9.99","9.99","","4712805990566","","1-BC-FLSLL-V210","0","1","default","false","2023-01-11T01:19:56+00:00"
"77","BOTTLE CAGE SUNLT CAGE COMPOSITE YEL","2.19","2.19","072774983179","","","","0","1","default","false","2023-01-11T01:20:32+00:00"
"78","BIKE RACK RR SUNLT G-TEC LITE BK 26/700","19.99","19.99","072774458417","","","","0","1","default","false","2023-10-12T20:18:23+00:00"
"79","BIKE RACK RR SUNLT G-TEC ADJ BK 26/700","17.99","17.99","072774458479","","","","0","1","default","false","2025-12-17T20:07:02+00:00"
"80","GRIPS SUNLT MICROTECH SPORT 138mm BK SGL LOCKING","10.99","10.99","888571078884","","","","0","1","default","false","2024-11-05T20:03:25+00:00"
"81","LUBE TRI-FLOW 2oz BOTTLE","4.79","4.69","032053210105","","","TF21010","0","1","default","false","2026-01-26T20:40:46+00:00"
"82","LUBE TRI-FLOW 2oz DRYLUBE","5.29","5.05","032053210136","","","TF21013","0","1","default","false","2024-10-01T17:06:27+00:00"
"83","GRIPS SUPACAZ LOCKON GRIZIPS 135mm RD/RD","10.19","10.19","633090197062","","","GR-11","0","1","default","false","2023-01-11T01:37:35+00:00"
"84","GRIPS SUNLT ERGO SPORT 135mm BK LOCKING","8.99","8.99","888571072356","","","","0","1","default","false","2025-01-08T23:13:45+00:00"
"85","GRIPS SUNLT ERGO-GRIP 135/95mm BK SGL LOCKING","10.29","10.29","888571067147","","","","0","1","default","false","2025-03-05T03:02:55+00:00"
"86","GRIPS OR8 CORKIE","8.49","8.49","072774317950","","","","0","1","default","false","2023-08-08T18:05:29+00:00"
"87","GRIPS SUNLT TS ONE 92/127mm BK","3.99","3.99","888571035122","","","","0","1","default","false","2025-01-08T23:13:45+00:00"
"88","GRIPS SUNLT MX II FOAM BK wINSIDE SLEEVE","5.99","5.99","072774313013","","","","0","1","default","false","2024-03-30T15:11:16+00:00"
"89","COMPUTER OR8 DATA STATION 8F WIRED BK","10.19","10.19","072774975709","","","","0","1","default","false","2023-07-15T14:16:42+00:00"
"90","PEDALS BK-OPS NYLON SQUATCH 9/16 BK","7.49","7.49","888571051634","","","","0","1","default","false","2025-06-18T19:59:48+00:00"
"91","PEDALS SUNLT MTN SPORT II 9/16in BK","5.99","5.99","072774418091","","","","0","1","default","false","2024-06-26T13:22:51+00:00"
"92","MIRROR ZEFAL DOOBACK 2 LH BK","9.09","9.09","643187016893","","","4770L","0","1","default","false","2023-01-11T01:55:02+00:00"
"93","BASKET SUNLT FT MESH L/O DLX BK14.5x8.5x7 w/BRACKET","11.99","11.99","072774900299","","","","0","1","default","false","2026-02-03T19:57:18+00:00"
"94","BASKET SUNLT FT MESH L/O DLX WH14.5x8.5x7 w/BRACKET","11.99","11.99","072774900633","","","","0","1","default","false","2023-01-11T01:58:23+00:00"
"95","BASKET SUNLT RR MESH RACTOP STL 16x12x9BK","31.99","31.99","072774901807","","","","0","1","default","false","2023-01-11T02:00:01+00:00"
"96","BASKET SUNLT FT DELUXE WICKER Q/R STD GY  w/BRACKET","29.99","29.99","888571063729","","","","0","1","default","false","2023-01-11T02:01:20+00:00"
"97","BASKET SUNLT FT BAMBOO QR W/BRACKET","29.99","29.99","072774901456","","","","0","1","default","false","2025-03-05T03:02:55+00:00"
"98","BASKET SUNLT RR MESH RACTOP STL 17.75x12.25x8BK GROCERY","31.99","31.99","888571005125","","","","0","1","default","false","2023-01-11T02:04:19+00:00"
"99","DT Swiss 180 Rear Hub - 12 x 142mm, Center Lock Disc, 28h, XD Driver, Black/White","0","0","7630024393715","","","H180NCDRR28SA6201S","0","0","default","false","2023-01-11T02:18:30+00:00"
"100","SHIFTER SUNLT HB ATB R&L 3x8 w/BRAKE LVR","14.49","14.49","072774536375","","","","0","1","default","false","2023-01-11T13:29:17+00:00"
"102","Spoke - Pedal Bike Spoke - 14 Gauge","0","0","","","","","37","1","non_inventory","false","2025-03-05T16:22:14+00:00"
"103","Spoke - Ebike Spoke - 12 Gauge","0","0","","","","","37","1","default","false","2025-09-20T18:03:20+00:00"
"105","26"" Kenda Kwest Non-Reflective","12.99","12.99","072774602995","","","60299","0","1","default","false","2025-03-05T03:03:49+00:00"
"112","Chain - SRAM - 6/7/8 Speed","0","0","","","","","46","1","default","false","2025-03-05T15:38:30+00:00"
"113","Chain - 9 speed","0","0","","","","","0","1","default","false","2025-03-05T17:26:01+00:00"
"114","Chain - 10 Speed","0","0","","","","","0","1","default","false","2025-03-05T17:26:01+00:00"
"115","Chain - 11/12 Speed","0","0","","","","","0","1","default","false","2025-03-05T17:26:01+00:00"
"118","Assembly Labor - Pedal Bike","0","0","","","","","57","1","default","false","2025-04-02T19:36:00+00:00"
"119","Assembly Labor - Ebike","0","0","","","","","57","1","default","false","2025-03-05T17:43:34+00:00"
"121","Bottom Bracket - Square Taper (any size)","0","0","","","","","0","1","default","false","2025-12-29T16:13:48+00:00"
"122","Wheel - 26"" front rim brake","0","0","","","","","0","1","default","false","2025-03-05T03:05:07+00:00"
"123","Wheel - 26"" rear rim brake","0","0","","","","","0","1","default","false","2025-03-05T03:05:07+00:00"
"124","Wheel - 26"" front 6B","0","0","","","","","0","1","default","false","2025-03-05T03:05:07+00:00"
"125","Wheel - 26"" rear 6B","0","0","","","","","0","1","default","false","2025-03-05T03:05:07+00:00"
"126","Wheel - 700c front, rim brakes","0","0","","","","","0","1","default","false","2025-03-05T03:05:07+00:00"
"127","Wheel - 700c rear, rim brakes","0","0","","","","","0","1","default","false","2025-03-05T03:05:07+00:00"
"128","Wheel - 700c front, 6B","0","0","","","","","0","1","default","false","2025-03-05T03:05:07+00:00"
"129","Wheel - 700c rear, 6B","0","0","","","","","0","1","default","false","2025-03-05T03:05:07+00:00"
"130","Rotor - 160mm - BBB Brand","0","0","","","","","0","1","default","false","2025-10-10T16:03:03+00:00"
"131","Rotor - 180mm - BBB Brand","0","0","","","","","0","1","default","false","2025-03-05T17:59:01+00:00"
"132","Rotor - 210mm - BBB Brand","0","0","","","","","0","1","default","false","2025-03-05T17:59:08+00:00"
"133","Nipple","0","0","","","","","37","1","default","false","2025-03-05T16:27:45+00:00"
"134","Presta Adapter","0","0","","","","","0","1","default","false","2025-03-05T03:02:55+00:00"
"136","Freewheel","0","0","","","","","0","1","default","false","2025-03-05T17:59:13+00:00"
"138","Housing - Per Foot - Part","0","0","","","","","44","1","default","false","2025-03-05T16:50:01+00:00"
"139","Cable - Brake/Shifter - Part","1.19","0","","","","","44","1","default","false","2025-03-05T15:22:56+00:00"
"140","Rim Strip - Part","0","0","","","","","39","1","default","false","2025-03-05T03:11:17+00:00"
"141","Brake Pads - Rim - Threaded Post Standard - BB Brand","0","0","","","","","0","1","default","false","2025-03-05T17:51:59+00:00"
"142","Brake Pads - Disc - ID 19  (rectangular) - Organic - BBB Brand","0","0","","","","","0","1","default","false","2025-03-05T17:51:44+00:00"
"143","Brake Noodle","0","0","","","","","41","1","default","false","2025-03-05T17:46:13+00:00"
"145","Chaoyang 20x4"" Smooth Tread Fat Tire","0","0","","","","","0","1","default","false","2025-03-05T03:03:52+00:00"
"146","CST 26x4"" Knobby Fat Tire","0","0","","","","","0","1","default","false","2025-03-05T03:03:52+00:00"
"149","HELMET AERIUS V19-SPORT XL BK/GY","15.49","13.99","888571060377","","","","0","1","default","false","2025-03-15T17:43:10+00:00"
"150","Suspension seatpost","0","0","","","","","0","1","default","false","2025-03-05T03:02:55+00:00"
"151","Rotor - Replace - Ebike Rear Motor Wheel - Labor","0","0","","","","","36","1","default","false","2025-03-05T18:28:31+00:00"
"152","Rotor -  Replace - Rear Wheel - Labor","0","0","","","","","36","1","default","false","2025-03-05T18:28:47+00:00"
"154","BAG TOPEAK TRUNK RX DXP II w/PANNIER","35.68","0","768661119416","","","63009813","0","1","default","false","2025-03-05T03:02:55+00:00"
"155","Sunlite Mesh Rack Top Bolt-On Basket","0","0","","","","","0","1","default","false","2025-03-05T03:02:55+00:00"
"156","Brake Pads Labor -  Replace or Install - Front OR Rear","0","0","","","","","53","1","default","false","2025-03-05T17:46:44+00:00"
"157","Diagnostics - Electric Bike - Labor","0","0","","","","","47","2","default","false","2025-03-31T14:36:08+00:00"
"158","6 / 7 / 8 freewheel","0","0","","","","","0","1","default","false","2025-03-05T17:59:17+00:00"
